# fmn API schema — the AUTHORED layer (fm-vn6, plan §16.2 / §16.1)
#
# API_SCHEMA.tsv is extracted from the pinned Reference and regenerated by
# scripts/gen_api_schema.py; this file is its human-maintained companion and
# is EDITED BY HAND. Keeping them apart is the point: regenerating the
# bootstrap must never silently discard a ruling, and authoring a ruling must
# never require re-deriving 2276 rows of Reference surface.
#
# The effective schema is the two merged. fmn_conformance::schema is the
# reader; every generator consumes the merged form, so a row added here
# changes generated code and fails the drift gate until the code is
# regenerated. That is the mechanism behind "drift between the front doors is
# a build error" (§16.2).
#
# Section-tagged, tab-separated, std-parseable — no TOML/YAML/JSON dependency
# anywhere in the reader (the SUITE.lock doctrine).

[meta]
overlay_version	1
ledger_reviewed_digest	44dff7ad5943d2a58121c5e6d755142996e7e23052a9c2da8cc04add8659a7fc

# ---------------------------------------------------------------------------
# [canonical] — Appendix C ruling C-9: public-surface typos.
#
# "canonical names in the schema; exact-name aliases in fmn-python". The Rust
# front door and the docs use the canonical name and ONLY the canonical name;
# fmn-python binds BOTH, so a source-unedited manim scene calling
# `mob.add_event_listner(...)` keeps working while new code reads correctly.
# The alias is never deprecated away: it is the Reference's public surface and
# the product contract is API compatibility (AGENTS.md "Backwards
# Compatibility" names the manim surface as a standing exception to the
# no-shims rule).
#
# The plan's C-9 row names three examples. The extracted schema shows the real
# extent is 26 symbols and 2 parameters — `listner` is systematic across the
# whole event surface, not a one-off. Every one is listed; the count is the
# point, since a partial rename would be worse than none.
#
# reference_symbol	canonical_name	ruling	note
[canonical]
manimlib.event_handler.event_dispatcher:EventDispatcher.add_listner	add_listener	C-9	-
manimlib.mobject.mobject:Mobject.remove_key_release_listner	remove_key_release_listener	C-9	-
manimlib.mobject.mobject:Mobject.remove_mouse_drag_listner	remove_mouse_drag_listener	C-9	-
manimlib.mobject.mobject:Mobject.remove_mouse_motion_listner	remove_mouse_motion_listener	C-9	-
manimlib.mobject.mobject:Mobject.remove_mouse_press_listner	remove_mouse_press_listener	C-9	-
manimlib.mobject.mobject:Mobject.remove_mouse_release_listner	remove_mouse_release_listener	C-9	-
manimlib.mobject.mobject:Mobject.remove_mouse_scroll_listner	remove_mouse_scroll_listener	C-9	-
manimlib.mobject.numbers:char_to_cahced_mob	char_to_cached_mob	C-9	the plan's named example

# ---------------------------------------------------------------------------
# [param_canonical] — the same ruling, one level down.
#
# owner	reference_param	canonical_name	ruling
[param_canonical]
manimlib.event_handler.event_dispatcher:EventDispatcher.add_listner	event_listner	event_listener	C-9
manimlib.event_handler.event_dispatcher:EventDispatcher.remove_listner	event_listner	event_listener	C-9


# ---------------------------------------------------------------------------
# [constants] — C-16 constant-value rulings.
#
# One row per Reference module constant whose EFFECTIVE value is governed by
# an Appendix-C ruling instead of its extracted spelling. The extracted layer
# (API_SCHEMA.tsv) stays verbatim-faithful to the pin; this section records
# the deliberate divergence so both front doors resolve the same value and
# the drift gate fails if the constant leaves the surface.
#
# reference_symbol	resolved_spelling	ruling	note
[constants]
manimlib.constants:TOP	UP	C-16	-
manimlib.constants:BOTTOM	DOWN	C-16	-
manimlib.constants:LEFT_SIDE	LEFT	C-16	-
manimlib.constants:RIGHT_SIDE	RIGHT	C-16	-

# ---------------------------------------------------------------------------
# [optional_config] — keys with no default, which therefore cannot be
# extracted.
#
# The extractor reads the shipped defaults document, so it can only see keys
# that have a default line. An OPTIONAL key has none by definition: the typed
# layer accepts it as `None`, and the document carries it as a commented
# example (`# position: (500, 500)`). Leaving them out would make the schema
# quietly smaller than the real surface — the typed layer reads them, so the
# schema must know them. Declared here, merged into the key set with no
# default.
#
# path	kind	reference
[optional_config]
directories.removed_mirror_prefix	string	1
window.position	tuple	1
window.size	tuple	1

# ---------------------------------------------------------------------------
# [config_binding] — the kwargs displacement (§15.1, D-05 adjacency).
#
# Each row binds one config key to the Rust field that carries it and the
# typed accessor that extracts it. THIS IS THE SOURCE from which
# crates/fmn-config/src/generated.rs is produced; W1CONF hand-wrote that
# extraction and this bead swaps in the generated form, so the config surface
# has exactly one definition instead of two that can drift.
#
# The outer Config field is the path's first segment for nested keys and the
# path itself for top-level ones — derived, not stored, so it cannot disagree.
# Row ORDER is the emission order of the generated struct literal.
#
# `resolution_options.4k` is the one key whose document name is not a legal
# Rust identifier; it binds to `uhd`, which is also what the CLI's --uhd
# selects. That asymmetry is exactly why the binding is written down.
#
# path	struct	field	accessor
[config_binding]
directories.mirror_module_path	DirectoriesConfig	mirror_module_path	bool
directories.base	DirectoriesConfig	base	string
directories.subdirs	DirectoriesConfig	subdirs	string_map
directories.cache	DirectoriesConfig	cache	string
directories.removed_mirror_prefix	DirectoriesConfig	removed_mirror_prefix	opt_string
window.position_string	WindowConfig	position_string	string
window.monitor_index	WindowConfig	monitor_index	u32
window.full_screen	WindowConfig	full_screen	bool
window.position	WindowConfig	position	opt_tuple_i64
window.size	WindowConfig	size	opt_tuple_u32
camera.resolution	CameraConfig	resolution	tuple_u32
camera.background_color	CameraConfig	background_color	string
camera.fps	CameraConfig	fps	u32
camera.background_opacity	CameraConfig	background_opacity	f64
file_writer.ffmpeg_bin	FileWriterConfig	ffmpeg_bin	string
file_writer.video_codec	FileWriterConfig	video_codec	string
file_writer.pixel_format	FileWriterConfig	pixel_format	string
file_writer.saturation	FileWriterConfig	saturation	f64
file_writer.gamma	FileWriterConfig	gamma	f64
scene.show_animation_progress	SceneConfig	show_animation_progress	bool
scene.leave_progress_bars	SceneConfig	leave_progress_bars	bool
scene.preview_while_skipping	SceneConfig	preview_while_skipping	bool
scene.default_wait_time	SceneConfig	default_wait_time	f64
vmobject.default_stroke_width	VMobjectConfig	default_stroke_width	f64
vmobject.default_stroke_color	VMobjectConfig	default_stroke_color	string
vmobject.default_fill_color	VMobjectConfig	default_fill_color	string
mobject.default_mobject_color	MobjectConfig	default_mobject_color	string
mobject.default_light_color	MobjectConfig	default_light_color	string
tex.template	TexConfig	template	string
tex.font_size_for_unit_height	TexConfig	font_size_for_unit_height	f64
text.font	TextConfig	font	string
text.alignment	TextConfig	alignment	string
text.font_size_for_unit_height	TextConfig	font_size_for_unit_height	f64
embed.exception_mode	EmbedConfig	exception_mode	string
embed.autoreload	EmbedConfig	autoreload	bool
resolution_options.low	ResolutionOptions	low	tuple_u32
resolution_options.med	ResolutionOptions	med	tuple_u32
resolution_options.high	ResolutionOptions	high	tuple_u32
resolution_options.4k	ResolutionOptions	uhd	tuple_u32
sizes.frame_height	SizesConfig	frame_height	f64
sizes.small_buff	SizesConfig	small_buff	f64
sizes.med_small_buff	SizesConfig	med_small_buff	f64
sizes.med_large_buff	SizesConfig	med_large_buff	f64
sizes.large_buff	SizesConfig	large_buff	f64
sizes.default_mobject_to_edge_buff	SizesConfig	default_mobject_to_edge_buff	f64
sizes.default_mobject_to_mobject_buff	SizesConfig	default_mobject_to_mobject_buff	f64
key_bindings	Config	key_bindings	string_map
colors	Config	colors	string_map
log_level	Config	log_level	log_level
universal_import_line	Config	universal_import_line	string
ignore_manimlib_modules_on_reload	Config	ignore_manimlib_modules_on_reload	bool
determinism.mode	DeterminismConfig	mode	determinism_mode
determinism.seed	DeterminismConfig	seed	u64
render.engine	RenderConfig	engine	engine
render.aa	RenderConfig	aa	aa_policy
render.threads	RenderConfig	threads	thread_policy

# ---------------------------------------------------------------------------
# [config_status] — reviewed semantic rulings for config keys.
#
# Absent rows remain honestly `unreviewed`; the complete Ledger still carries
# every key. A reviewed row uses the same evidence contract as [status].
#
# path	status	evidence	tests	notes
[config_status]
camera	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the camera configuration namespace mapping resolution, fps, and background properties
camera.background_color	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the camera background color string hex representation
camera.background_opacity	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the camera background opacity float value
camera.fps	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the nominal camera frame rate integer
camera.resolution	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the camera pixel resolution (width, height) tuple
colors	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named color palette map
colors.black	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for black
colors.blue_a	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for blue_a
colors.blue_b	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for blue_b
colors.blue_c	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for blue_c
colors.blue_d	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for blue_d
colors.blue_e	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for blue_e
colors.dark_brown	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for dark_brown
colors.gold_a	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for gold_a
colors.gold_b	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for gold_b
colors.gold_c	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for gold_c
colors.gold_d	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for gold_d
colors.gold_e	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for gold_e
colors.green_a	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for green_a
colors.green_b	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for green_b
colors.green_c	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for green_c
colors.green_d	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for green_d
colors.green_e	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for green_e
colors.green_screen	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for green_screen
colors.grey_a	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for grey_a
colors.grey_b	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for grey_b
colors.grey_brown	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for grey_brown
colors.grey_c	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for grey_c
colors.grey_d	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for grey_d
colors.grey_e	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for grey_e
colors.light_brown	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for light_brown
colors.light_pink	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for light_pink
colors.maroon_a	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for maroon_a
colors.maroon_b	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for maroon_b
colors.maroon_c	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for maroon_c
colors.maroon_d	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for maroon_d
colors.maroon_e	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for maroon_e
colors.orange	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for orange
colors.pink	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for pink
colors.pure_blue	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for pure_blue
colors.pure_green	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for pure_green
colors.pure_red	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for pure_red
colors.purple_a	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for purple_a
colors.purple_b	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for purple_b
colors.purple_c	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for purple_c
colors.purple_d	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for purple_d
colors.purple_e	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for purple_e
colors.red_a	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for red_a
colors.red_b	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for red_b
colors.red_c	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for red_c
colors.red_d	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for red_d
colors.red_e	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for red_e
colors.teal_a	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for teal_a
colors.teal_b	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for teal_b
colors.teal_c	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for teal_c
colors.teal_d	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for teal_d
colors.teal_e	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for teal_e
colors.white	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for white
colors.yellow_a	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for yellow_a
colors.yellow_b	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for yellow_b
colors.yellow_c	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for yellow_c
colors.yellow_d	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for yellow_d
colors.yellow_e	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named palette hex color value for yellow_e
determinism	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the determinism configuration namespace
determinism.mode	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the engine determinism mode (standard or certified)
determinism.seed	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the global base seed for deterministic pseudorandom generation
directories	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the file and asset directories configuration namespace
directories.base	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the base assets directory path
directories.cache	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the directory path for cache artifacts
directories.mirror_module_path	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	controls whether output paths mirror python module hierarchy
directories.removed_mirror_prefix	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	specifies directory prefix to strip when mirroring module paths
directories.subdirs	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the map of output subdirectory names for assets and renders
directories.subdirs.data	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the output subdirectory name for data
directories.subdirs.downloads	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the output subdirectory name for downloads
directories.subdirs.latex_cache	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the output subdirectory name for latex_cache
directories.subdirs.output	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the output subdirectory name for output
directories.subdirs.raster_images	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the output subdirectory name for raster_images
directories.subdirs.sounds	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the output subdirectory name for sounds
directories.subdirs.three_d_models	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the output subdirectory name for three_d_models
directories.subdirs.vector_images	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the output subdirectory name for vector_images
embed	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the interactive embedding configuration namespace
embed.autoreload	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	controls scene autoreload behavior on file modification
embed.exception_mode	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	specifies exception verbosity mode during interactive embed
file_writer	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the video and frame output configuration namespace
file_writer.ffmpeg_bin	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the ffmpeg binary executable name or path
file_writer.gamma	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the display gamma correction factor
file_writer.pixel_format	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the output video pixel format string
file_writer.saturation	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the color saturation adjustment factor
file_writer.video_codec	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the video compression codec name
ignore_manimlib_modules_on_reload	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	controls whether manimlib internal modules are skipped during reload
key_bindings	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the interactive scene key binding configuration namespace
key_bindings.color	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the key character binding for interactive color action
key_bindings.cursor	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the key character binding for interactive cursor action
key_bindings.grab	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the key character binding for interactive grab action
key_bindings.information	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the key character binding for interactive information action
key_bindings.pan	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the key character binding for interactive pan action
key_bindings.pan_3d	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the key character binding for interactive pan_3d action
key_bindings.quit	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the key character binding for interactive quit action
key_bindings.reset	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the key character binding for interactive reset action
key_bindings.resize	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the key character binding for interactive resize action
key_bindings.select	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the key character binding for interactive select action
key_bindings.unselect	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the key character binding for interactive unselect action
key_bindings.x_grab	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the key character binding for interactive x_grab action
key_bindings.y_grab	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the key character binding for interactive y_grab action
key_bindings.z_grab	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the key character binding for interactive z_grab action
log_level	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the logging output severity threshold level
mobject	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the mobject default appearance configuration namespace
mobject.default_light_color	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the default light source color for 3D mobjects
mobject.default_mobject_color	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the default base mobject color string
render	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the rendering execution and rasterizer configuration namespace
render.aa	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the antialiasing policy setting
render.engine	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the execution engine backend selector
render.threads	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the thread allocation policy for rendering
resolution_options	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the named resolution preset options map
resolution_options.4k	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the (width, height) pixel tuple for 4k resolution preset
resolution_options.high	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the (width, height) pixel tuple for high resolution preset
resolution_options.low	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the (width, height) pixel tuple for low resolution preset
resolution_options.med	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the (width, height) pixel tuple for med resolution preset
scene	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the scene animation and playback configuration namespace
scene.default_wait_time	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the default duration in seconds for scene wait calls
scene.leave_progress_bars	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	controls whether animation progress bars persist after completion
scene.preview_while_skipping	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	controls preview rendering during fast-forward frame skipping
scene.show_animation_progress	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	controls display of terminal progress bars during animation
sizes	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the spatial dimensions and layout buffer configuration namespace
sizes.default_mobject_to_edge_buff	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the default spatial layout dimension for default_mobject_to_edge_buff
sizes.default_mobject_to_mobject_buff	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the default spatial layout dimension for default_mobject_to_mobject_buff
sizes.frame_height	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the default spatial layout dimension for frame_height
sizes.large_buff	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the default spatial layout dimension for large_buff
sizes.med_large_buff	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the default spatial layout dimension for med_large_buff
sizes.med_small_buff	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the default spatial layout dimension for med_small_buff
sizes.small_buff	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the default spatial layout dimension for small_buff
tex	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the TeX math typesetting configuration namespace
tex.font_size_for_unit_height	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the scaling reference font size for unit height in TeX
tex.template	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the active TeX preamble template name
text	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the plain text typesetting configuration namespace
text.alignment	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the default horizontal text alignment string
text.font	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the default font family name for text mobjects
text.font_size_for_unit_height	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the scaling reference font size for unit height in text
universal_import_line	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the import statement header injected into interactive sessions
vmobject	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the vectorized mobject styling default configuration namespace
vmobject.default_fill_color	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the default fill color string for VMobjects
vmobject.default_stroke_color	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the default stroke color string for VMobjects
vmobject.default_stroke_width	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the default stroke width float for VMobjects
window	same	crates/fmn-config/src/generated.rs	crates/fmn-config/tests/config.rs	is the interactive preview window configuration namespace
